step_time,reward,total_stopped,total_wait_time
2365.0,5,45,8555.0
2370.0,11,37,8746.0
2375.0,10,41,8922.0
2380.0,9,53,9159.0
2385.0,2,66,9461.0
2390.0,-6,72,9797.0
2395.0,-13,74,9986.0
2400.0,-16,68,10076.0
2405.0,-17,63,10362.0
2410.0,-16,67,10685.0
2415.0,-15,70,11027.0
2420.0,-18,74,11319.0
2425.0,-15,70,11595.0
2430.0,-17,70,11927.0
2435.0,-17,67,12173.0
2440.0,-10,61,11947.0
2445.0,-2,56,11555.0
2450.0,7,51,11806.0
2455.0,13,53,12032.0
2460.0,10,56,12305.0
2465.0,6,62,12595.0
2470.0,1,73,12935.0
2475.0,1,67,12378.0
2480.0,7,62,10968.0
2485.0,12,55,11153.0
2490.0,18,53,11354.0
2495.0,17,56,11584.0
2500.0,3,63,11878.0
2505.0,-3,69,12207.0
2510.0,-4,71,12346.0
2515.0,-10,68,12269.0
2520.0,-21,66,12399.0
2525.0,-20,63,12716.0
2530.0,-22,64,13020.0
2535.0,-22,68,13352.0
2540.0,-21,66,13469.0
2545.0,-20,61,13187.0
2550.0,-15,50,12701.0
2555.0,-7,44,12327.0
2560.0,8,45,12481.0
2565.0,13,48,12576.0
2570.0,10,54,12623.0
2575.0,5,55,12509.0
2580.0,-2,58,12743.0
2585.0,3,58,12709.0
2590.0,5,54,11767.0
2595.0,12,49,10461.0
2600.0,17,45,10651.0
2605.0,14,46,10801.0
2610.0,8,56,11068.0
2615.0,0,65,11377.0
2620.0,-5,71,11724.0
2625.0,-12,73,12087.0
2630.0,-20,71,12241.0
2635.0,-21,67,12225.0
2640.0,-22,63,12546.0
2645.0,-22,67,12870.0
2650.0,-13,60,13090.0
2655.0,-15,58,13013.0
2660.0,-15,59,12425.0
2665.0,-17,61,12719.0
2670.0,-19,62,13024.0
2675.0,-21,65,13334.0
2680.0,-18,65,13640.0
2685.0,-18,62,13724.0
2690.0,-18,62,13651.0
2695.0,-19,59,13753.0
2700.0,-19,54,13701.0
2705.0,-18,50,13355.0
2710.0,-18,51,13330.0
2715.0,-19,54,13592.0
2720.0,-19,55,13584.0
2725.0,-20,55,13304.0
2730.0,-21,56,13579.0
2735.0,-21,61,13871.0
2740.0,-20,66,14194.0
2745.0,-19,64,14259.0
2750.0,-14,59,14205.0
2755.0,-10,57,13985.0
2760.0,-4,53,13398.0
2765.0,5,50,13622.0
2770.0,14,52,13210.0
2775.0,12,48,12207.0
2780.0,9,44,11759.0
2785.0,6,53,11997.0
2790.0,-2,58,12271.0
2795.0,-9,57,12186.0
2800.0,-13,57,11860.0
2805.0,-16,55,12128.0
2810.0,-17,53,12388.0
2815.0,-14,57,12665.0
2820.0,-16,58,12745.0
2825.0,-17,55,12618.0
2830.0,-17,58,12902.0
2835.0,-17,54,12875.0
2840.0,-17,53,12635.0
2845.0,-14,48,12660.0
2850.0,-16,49,12677.0
2855.0,-13,46,12056.0
2860.0,-6,41,10861.0
2865.0,6,39,11004.0
2870.0,18,40,11093.0
2875.0,17,50,11312.0
2880.0,13,56,11340.0
2885.0,8,53,11251.0
2890.0,-2,50,11320.0
2895.0,-4,56,11565.0
2900.0,-13,59,11825.0
2905.0,-19,67,12116.0
2910.0,-21,64,12439.0
2915.0,-20,66,12753.0
2920.0,-22,68,13089.0
2925.0,-17,65,13034.0
2930.0,-11,58,12547.0
2935.0,4,50,12621.0
2940.0,14,43,12516.0
2945.0,8,41,12595.0
2950.0,4,47,12647.0
2955.0,1,52,12881.0
2960.0,2,53,12743.0
2965.0,5,53,12236.0
2970.0,11,51,12495.0
2975.0,13,47,12719.0
2980.0,10,48,12938.0
2985.0,7,47,12917.0
2990.0,2,51,12879.0
2995.0,3,53,12785.0
3000.0,3,52,12330.0
3005.0,10,48,12233.0
3010.0,16,45,12313.0
3015.0,14,50,12345.0
3020.0,9,53,12604.0
3025.0,0,55,12855.0
3030.0,2,51,12698.0
3035.0,3,47,12359.0
3040.0,9,46,12567.0
3045.0,10,52,12811.0
3050.0,7,59,13093.0
3055.0,5,65,13405.0
3060.0,3,66,13526.0
3065.0,6,64,13516.0
3070.0,10,62,13710.0
3075.0,12,61,13984.0
3080.0,11,57,14194.0
3085.0,5,63,14466.0
3090.0,2,70,14799.0
3095.0,2,66,14989.0
3100.0,6,66,15075.0
3105.0,10,65,15316.0
3110.0,15,64,15627.0
3115.0,13,67,15953.0
3120.0,8,70,16296.0
3125.0,2,73,16656.0
3130.0,1,77,16922.0
3135.0,3,72,17101.0
3140.0,8,67,17354.0
3145.0,11,70,17698.0
3150.0,10,70,18043.0
3155.0,6,73,18400.0
3160.0,2,78,18777.0
3165.0,4,78,19069.0
3170.0,7,74,19258.0
3175.0,12,69,19086.0
3180.0,12,62,18271.0
3185.0,9,52,17627.0
3190.0,6,53,17664.0
3195.0,4,52,17820.0
3200.0,7,56,17929.0
3205.0,10,60,18225.0
3210.0,12,65,18543.0
3215.0,10,71,18887.0
3220.0,6,70,19119.0
3225.0,0,69,19248.0
3230.0,0,73,19502.0
3235.0,5,74,19700.0
3240.0,9,74,20069.0
3245.0,13,70,20300.0
3250.0,7,72,20636.0
3255.0,6,76,20963.0
3260.0,3,77,21258.0
3265.0,-2,76,21111.0
3270.0,-5,74,20453.0
3275.0,-19,69,20156.0
3280.0,-16,66,20364.0
3285.0,-13,69,20680.0
3290.0,-15,76,21047.0
3295.0,-14,78,21115.0
3300.0,-13,74,20762.0
3305.0,-10,66,20544.0
3310.0,-2,62,20858.0
3315.0,5,64,21167.0
3320.0,1,67,20979.0
3325.0,-1,66,20259.0
3330.0,-8,68,20020.0
3335.0,-13,76,20369.0
3340.0,-18,86,20778.0
3345.0,-28,86,21193.0
3350.0,-31,86,21385.0
3355.0,-31,90,21440.0
3360.0,-33,91,21696.0
3365.0,-30,89,22043.0
3370.0,-24,84,22306.0
3375.0,-15,82,22718.0
3380.0,-6,82,23127.0
3385.0,-13,87,23551.0
3390.0,-18,86,23471.0
3395.0,-19,82,22780.0
3400.0,-17,79,22998.0
3405.0,-10,78,22965.0
3410.0,-8,76,22669.0
3415.0,-12,76,22701.0
3420.0,-18,78,23080.0
3425.0,-17,75,23328.0
3430.0,-17,71,23444.0
3435.0,-10,70,23776.0
3440.0,-14,78,24156.0
3445.0,-15,85,24569.0
3450.0,-21,87,24998.0
3455.0,-19,83,25296.0
3460.0,-12,76,25452.0
3465.0,-12,79,25833.0
3470.0,-14,88,26249.0
3475.0,-23,86,26470.0
3480.0,-24,80,26476.0
3485.0,-19,75,26738.0
3490.0,-17,77,26927.0
3495.0,-18,86,27253.0
3500.0,-19,84,27467.0
3505.0,-19,80,27540.0
3510.0,-19,76,27844.0
3515.0,-19,77,28095.0
3520.0,-16,69,28060.0
3525.0,-8,69,27735.0
3530.0,3,70,28065.0
3535.0,11,68,27794.0
3540.0,12,67,26898.0
3545.0,5,73,27246.0
3550.0,0,82,27636.0
3555.0,-1,81,27708.0
3560.0,-1,77,27446.0
3565.0,5,73,27367.0
3570.0,9,68,26831.0
3575.0,7,65,27157.0
3580.0,3,71,27495.0
3585.0,-4,76,27865.0
3590.0,-2,82,27911.0
3595.0,0,77,26975.0
3600.0,4,76,27346.0
3605.0,15,77,27728.0
3610.0,10,76,28104.0
3615.0,6,79,28474.0
3620.0,2,83,28884.0
3625.0,0,82,28937.0
3630.0,6,82,29016.0
3635.0,14,83,29428.0
3640.0,9,80,29826.0
3645.0,9,81,30217.0
3650.0,1,85,30629.0
3655.0,1,87,30759.0
3660.0,-9,84,30634.0
3665.0,-12,82,31032.0
3670.0,-18,79,29684.0
3675.0,-16,73,26561.0
3680.0,-15,68,25246.0
